Type,SKU,Name,Published,Short description,Regular price,Categories,Tags,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Images
simple,HN1,Piano Sonatas Volume I,1,"When Günter Henle founded his Urtext publishing house in 1948, the first work in the catalogue was the two volume edition of all of Mozart’s piano sonatas. Even today they still bear our numbers HN 1 and HN 2. Over the years both of the volumes have been revised several times so that the musical text always reflects the latest in scholarly research. The manuscripts have survived for many of Mozart’s sonatas, and for some of his works he made slight changes to the text before printing. For this reason we provide both versions in such cases. The editor’s preface and critical commentary provide detailed information concerning all of the sources and questions regarding the text.",59,"Mozart\, Wolfgang Amadeus","Wolfgang Amadeus Mozart, Piano ",Publisher,Henle,1,1,Composer,Wolfgang Amadeus Mozart,,1,Instrument,Piano,1,1,Format,paperbound,1,1,,,,,Composer-Surname,"Mozart\, Wolfgang Amadeus",,1,https://www.henle.de/cover/w585/HN-0001.jpg
simple,HN10,Notebook for Anna Magdalena Bach,1,"Bach gave his wife Anna Magdalena two handwritten books of music. The second one is of particular value with its gilt-edged, vellum-covered binding. In this little book of 1725 he noted down numerous piano works in the most different styles – both his own and by other composers. The Henle Urtext edition, which incidentally is one of our bestselling titles, faithfully reproduces the complete contents of this manuscript, aside from the movements from the “French Suites” (HN 593) and “Partitas” (HN 28) in the notebook, which can be found elsewhere in the Henle catalogue. It is also an example of beautiful engraving by hand.",53,"Bach\, Johann Sebastian","Johann Sebastian Bach, Piano ",Publisher,Henle,1,1,Composer,Johann Sebastian Bach,,1,Instrument,Piano,1,1,Format,clothbound,1,1,,,,,Composer-Surname,"Bach\, Johann Sebastian",,1,https://www.henle.de/cover/w585/HN-0010.jpg
simple,HN100,English Suites BWV 806-811,1,"Although people might like to think that the “English Suites” were composed after the “French Suites” (HN 71), “the temperamental and in part virtuoso flow of these Suites is more characteristic of the musical language of the young Bach” (from our preface). The kaleidoscopic variety of the six “English” Suites is breathtaking. One lifetime is not enough to exhaustively comprehend and penetrate them. We provide the sustainable musical basis for this, in different formats: the complete paperbound volume (HN 100), clothbound (HN 101), divided into Nos. 1–3 (HN 102) and Nos. 4–6 (HN 103) and last but not least in a very good value study edition with the identical musical text (HN 9100).",49.5,"Bach\, Johann Sebastian","Johann Sebastian Bach, Piano ",Publisher,Henle,1,1,Composer,Johann Sebastian Bach,,1,Instrument,Piano,1,1,Format,paperbound,1,1,,,,,Composer-Surname,"Bach\, Johann Sebastian",,1,https://www.henle.de/cover/w585/HN-0100.jpg
simple,HN1000,String Quartet op. 3,1,"Alban Berg’s String Quartet can be considered to be one of the founding works of the Second Viennese School. Already composed in 1910 and first published in 1920, it was the last composition the 25-year-old wrote under the tutelage of Arnold Schoenberg, who admired “the fullness and unconstraint of his musical language, the strength and sureness of its presentation, its careful working and significant originality”. Even today the extremely complex work places the highest technical demands on the interpreters; for this reason our edition contains parts that are especially good to play from, in which each musician can also follow what is going on in the other parts.",86.5,"Berg\, Alban","Alban Berg, String Quartet, Chamber",Publisher,Henle,1,1,Composer,Alban Berg,,1,Instrument,"String Quartet, Chamber",1,1,Format,Set of Parts paperbound,1,1,,,,,Composer-Surname,"Berg\, Alban",,1,https://www.henle.de/cover/w585/HN-1000.jpg
simple,HN1001,Piano Sonatas Volume I,1,"When Günter Henle founded his Urtext publishing company in 1948 he began his catalogue with a two-volume edition (HN 1 and HN 2) of Mozart’s 18 piano sonatas. These sonatas remain part of the core repertory of every pianist. In the intervening decades both volumes have been revised several times in order to keep pace with the current state of research. The latest update, concerning K. 331, the “Alla turca” sonata from volume 2, dates from 2015. The editor’s preface and critical report provide detailed information on all the sources and textual issues. HN 1 and HN 2 include fingerings; both volumes are now presented without fingerings, for pianists who want to find their own way into Mozart’s piano universe.",59,"Mozart\, Wolfgang Amadeus","Wolfgang Amadeus Mozart, Piano",Publisher,Henle,1,1,Composer,Wolfgang Amadeus Mozart,,1,Instrument,Piano,1,1,Format,paperbound,1,1,,,,,Composer-Surname,"Mozart\, Wolfgang Amadeus",,1,https://www.henle.de/cover/w585/HN-1001.jpg
simple,HN1002,Piano Sonatas Volume II,1,"When Günter Henle founded his Urtext publishing company in 1948 he began his catalogue with a two-volume edition (HN 1 and HN 2) of Mozart’s 18 piano sonatas. These sonatas remain part of the core repertory of every pianist. In the intervening decades both volumes have been revised several times in order to keep pace with the current state of research. The latest update, concerning K. 331, the “Alla turca” sonata from volume 2, dates from 2015. The editor’s preface and critical report provide detailed information on all the sources and textual issues. HN 1 and HN 2 include fingerings; both volumes are now presented without fingerings, for pianists who want to find their own way into Mozart’s piano universe.",59,"Mozart\, Wolfgang Amadeus","Wolfgang Amadeus Mozart, Piano",Publisher,Henle,1,1,Composer,Wolfgang Amadeus Mozart,,1,Instrument,Piano,1,1,Format,paperbound,1,1,,,,,Composer-Surname,"Mozart\, Wolfgang Amadeus",,1,https://www.henle.de/cover/w585/HN-1002.jpg
simple,HN1003,Works for two Pianos,1,"Whose ears are not instantly filled with the dreamy flute solo when Debussy’s ""Prélude à l’après-midi d’un faune"" is mentioned? Very few people know that before he wrote the orchestral score Debussy made a version for two pianos. Both versions should be seen as being independent, and they differ in some details. The differences are revealed in our edition, as are Debussy’s entries concerning the work in his copy of the score. The volume also contains the Spanish impression ""Lindaraja"" and the three pieces ""En blanc et noir"", in which Debussy addresses the horrors of World War I. Andreas Groethuysen, one half of the famous piano duo Tal & Groethuysen, provided the fingerings.",67,"Debussy\, Claude","Claude Debussy, Piano ",Publisher,Henle,1,1,Composer,Claude Debussy,,1,Instrument,Piano,1,1,Format,paperbound,1,1,,,,,Composer-Surname,"Debussy\, Claude",,1,https://www.henle.de/cover/w585/HN-1003.jpg
simple,HN1005,"Divertimento K. 525 ""A Little Night Music""",1,"Mozart’s “Kleine Nachtmusik” is surely one of the most popular works of so-called classical music. Although his manuscript is not completely free of corrections, it is still undoubtedly one of Mozart’s most beautiful and serves as the (sole) source for our Urtext edition. Mozart wanted to see his most famous serenade performed by a string quartet with double bass (HN 1005); but it is well-known that it also sounds good when played by a chamber orchestra, so the parts can also be ordered individually. And there is another little extra: The editor believes he has identified the much discussed person to whom the “Kleine Nachtmusik” was dedicated – the answer can be read in the preface.?",43,"Mozart\, Wolfgang Amadeus","Wolfgang Amadeus Mozart, Chamber",Publisher,Henle,1,1,Composer,Wolfgang Amadeus Mozart,,1,Instrument,Chamber,1,1,Format,Set of Parts paperbound,1,1,,,,,Composer-Surname,"Mozart\, Wolfgang Amadeus",,1,https://www.henle.de/cover/w585/HN-1005.jpg
simple,HN1006,"Divertimento K. 525 ""A Little Night Music""",1,,14,"Mozart\, Wolfgang Amadeus","Wolfgang Amadeus Mozart, Violin",Publisher,Henle,1,1,Composer,Wolfgang Amadeus Mozart,,1,Instrument,Violin,1,1,Format,Parts paperbound,1,1,,,,,Composer-Surname,"Mozart\, Wolfgang Amadeus",,1,https://www.henle.de/cover/w585/HN-1006.jpg
simple,HN1007,"Divertimento K. 525 ""A Little Night Music""",1,,14,"Mozart\, Wolfgang Amadeus","Wolfgang Amadeus Mozart, Violin",Publisher,Henle,1,1,Composer,Wolfgang Amadeus Mozart,,1,Instrument,Violin,1,1,Format,Parts paperbound,1,1,,,,,Composer-Surname,"Mozart\, Wolfgang Amadeus",,1,https://www.henle.de/cover/w585/HN-1007.jpg
simple,HN1008,"Divertimento K. 525 ""A Little Night Music""",1,,14,"Mozart\, Wolfgang Amadeus","Wolfgang Amadeus Mozart, Violin",Publisher,Henle,1,1,Composer,Wolfgang Amadeus Mozart,,1,Instrument,Violin,1,1,Format,Parts paperbound,1,1,,,,,Composer-Surname,"Mozart\, Wolfgang Amadeus",,1,https://www.henle.de/cover/w585/HN-1008.jpg
simple,HN1009,"Divertimento K. 525 ""A Little Night Music""",1,,14,"Mozart\, Wolfgang Amadeus","Wolfgang Amadeus Mozart, Cello",Publisher,Henle,1,1,Composer,Wolfgang Amadeus Mozart,,1,Instrument,Cello,1,1,Format,Parts paperbound,1,1,,,,,Composer-Surname,"Mozart\, Wolfgang Amadeus",,1,https://www.henle.de/cover/w585/HN-1009.jpg
simple,HN101,English Suites BWV 806-811,1,"Although people might like to think that the “English Suites” were composed after the “French Suites” (HN 71), “the temperamental and in part virtuoso flow of these Suites is more characteristic of the musical language of the young Bach” (from our preface). The kaleidoscopic variety of the six “English” Suites is breathtaking. One lifetime is not enough to exhaustively comprehend and penetrate them. We provide the sustainable musical basis for this, in different formats: the complete paperbound volume (HN 100), clothbound (HN 101), divided into Nos. 1–3 (HN 102) and Nos. 4–6 (HN 103) and last but not least in a very good value study edition with the identical musical text (HN 9100).",78.5,"Bach\, Johann Sebastian","Johann Sebastian Bach, Piano ",Publisher,Henle,1,1,Composer,Johann Sebastian Bach,,1,Instrument,Piano,1,1,Format,clothbound,1,1,,,,,Composer-Surname,"Bach\, Johann Sebastian",,1,https://www.henle.de/cover/w585/HN-0101.jpg
simple,HN1011,Marché écossaise,1,"The Scottish General Meredith Read called on Debussy in 1890 with a rather unusual request: Read acquainted the composer with a traditional bagpipe melody from his home country and asked him to write a march based on it. Debussy was indeed inspired by the original Scottish tune. He quickly wrote a colourful piece for piano four hands, which he even arranged for orchestra two years later. After the composer’s death further arrangements of the work were made by subsequent editors. Our Urtext edition gives the original musical text from 1891 - a joy for all piano duos looking for new repertoire.?",34.5,"Debussy\, Claude","Claude Debussy, Piano ",Publisher,Henle,1,1,Composer,Claude Debussy,,1,Instrument,Piano,1,1,Format,paperbound,1,1,,,,,Composer-Surname,"Debussy\, Claude",,1,https://www.henle.de/cover/w585/HN-1011.jpg
simple,HN1013,"Prélude et Nocturne op. 9 for Piano, left hand",1,"In summer 1891 Scriabin hurt his right hand through too much practice. For this reason he cultivated his playing with his left hand for which he composed his Prélude et Nocturne op. 9 in 1894. Both pieces were printed the following year, and quickly became very popular. In 1906 they were both even so well liked in America that Scriabin reported from New York: ""It has emerged that the publisher here has reprinted my nocturne for the left hand and thousands of copies have been sold. [...] I am immensely popular!""",28,"Scriabin\, Alexander ","Alexander Scriabin, Piano, left hand",Publisher,Henle,1,1,Composer,Alexander Scriabin,,1,Instrument,"Piano, left hand",1,1,Format,paperbound,1,1,,,,,Composer-Surname,"Scriabin\, Alexander ",,1,https://www.henle.de/cover/w585/HN-1013.jpg
simple,HN1014,The Well-Tempered Clavier Part I,1,The basis for the musical text was Henle’s revised edition of Part I published in 1997 and Yo Tomita’s brand new revision of Part II (Spring 2007). A detailed commentary rounds off the editions. Both parts of the Well-Tempered Clavier are also available as Henle Urtext editions with fingerings (HN 14) and as study edition ohne fingerings (HN 9014).,53,"Bach\, Johann Sebastian","Johann Sebastian Bach, Piano ",Publisher,Henle,1,1,Composer,Johann Sebastian Bach,,1,Instrument,Piano,1,1,Format,paperbound,1,1,,,,,Composer-Surname,"Bach\, Johann Sebastian",,1,https://www.henle.de/cover/w585/HN-1014.jpg
simple,HN1015,Vers la flamme,1,"Scriabin’s ideal of music as part of a synthesis of the arts, raising people to a higher level of consciousness, is particularly apparent in his late work ""Vers la flamme"" op. 72. The poème opens with static, rough chords, and then slowly but steadily rises from the depths to the bright light above. Diverse levels of sound in changing rhythms gradually move above one another and create a suction-like tension. At the close, tremolos and fanfares tower up to a blazing conflagration of orchestral intensity. The Scriabin expert Valentina Rubcova knowledgeably sheds light on this suggestive work in the accompanying texts to our Urtext edition.?",21,"Scriabin\, Alexander ","Alexander Scriabin, Piano ",Publisher,Henle,1,1,Composer,Alexander Scriabin,,1,Instrument,Piano,1,1,Format,paperbound,1,1,,,,,Composer-Surname,"Scriabin\, Alexander ",,1,https://www.henle.de/cover/w585/HN-1015.jpg
simple,HN1016,The Well-Tempered Clavier Part II,1,The basis for the musical text of this edition without fingerings was Henle’s revised edition of Part I published in 1997 and Yo Tomita’s brand new revision of Part II (spring 2007). The eminent Bach scholar Tomita discusses the complicated source situation of Part II in an extensive preface. A detailed commentary rounds off the edition. Both parts of the Well-Tempered Clavier are also available as Henle Urtext editions with fingerings (HN 16) and as study editions without fingerings (HN 9016).?,53,"Bach\, Johann Sebastian","Johann Sebastian Bach, Piano ",Publisher,Henle,1,1,Composer,Johann Sebastian Bach,,1,Instrument,Piano,1,1,Format,paperbound,1,1,,,,,Composer-Surname,"Bach\, Johann Sebastian",,1,https://www.henle.de/cover/w585/HN-1016.jpg
simple,HN1017,Goethe Songs,1,"""Faust"", ""Wilhelm Meister"", ""Egmont"", even ""Erlkönig"" - again and again Beethoven chose texts by Goethe for his song compositions. Now, for the first time, all of Beethoven’s songs with texts by the great Weimar writer are available in one volume. Alongside the famous setting of ""Wonne der Wehmut"" and Mephisto’s satiric Flea Song op. 75 no. 3, there are also others to be discovered, such as four different versions of Mignon’s Song ""Nur wer die Sehnsucht kennt"". The musical text in the Beethoven Complete Edition forms the basis for this volume. In addition the Flea Song has been revised following the autograph that recently reappeared.",39.5,"Beethoven\, Ludwig van","Ludwig van Beethoven, Vocal",Publisher,Henle,1,1,Composer,Ludwig van Beethoven,,1,Instrument,Vocal,1,1,Format,paperbound,1,1,,,,,Composer-Surname,"Beethoven\, Ludwig van",,1,https://www.henle.de/cover/w585/HN-1017.jpg
